Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NT350,SPIRE METHLEY PARK HOSPITAL,531,533,1.0037665,401,0.7523452,70,0.1313321,70,1,215,210,0.9767442,156,0.7428571,31,0.147619,31,1,*,*,*,*,*,28,*,28,*,*,*,*,*,*,0,*,0,*,316,323,1.0221519,245,0.7585139,39,0.120743,39,1,309,*,*,*,*,*,0.1452282,*,1,7,*,*,*,*,0,*,0,*
NT364,SPIRE MONTEFIORE HOSPITAL,66,258,3.9090909,37,0.1434109,117,0.4534884,117,1,28,125,4.4642857,17,0.136,62,0.496,62,1,28,17,0.6071429,17,1,10,0.5882353,10,1,0,0,0,0,0,0,0,0,0,38,133,3.5,20,0.1503759,55,0.4135338,55,1,*,20,0.5405405,*,1,11,0.55,11,1,*,0,*,0,0,0,0,0,0
NT325,SPIRE MURRAYFIELD HOSPITAL,309,214,0.6925566,171,0.7990654,68,0.317757,68,1,160,109,0.68125,87,0.7981651,40,0.3669725,40,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,149,105,0.704698,84,0.8,28,0.2666667,28,1,*,*,*,*,*,*,0.3373494,*,1,*,*,*,*,*,0,*,0,*
NT318,SPIRE NORWICH HOSPITAL,0,742,0,0,0,285,0.384097,285,1,0,370,0,0,0,129,0.3486486,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,156,0.4193548,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT30A,SPIRE NOTTINGHAM HOSPITAL,197,137,0.6954315,119,0.8686131,37,0.270073,37,1,88,59,0.6704545,51,0.8644068,15,0.2542373,15,1,88,51,0.5795455,51,1,15,0.2941176,15,1,0,0,0,0,0,0,0,0,0,109,78,0.7155963,68,0.8717949,22,0.2820513,22,1,*,*,*,*,*,*,0.3134328,*,1,*,*,*,*,*,0,*,0,*
NT320,SPIRE PARKWAY HOSPITAL,632,617,0.9762658,481,0.7795786,135,0.2188006,135,1,271,285,1.0516605,213,0.7473684,69,0.2421053,69,1,271,213,0.7859779,213,1,58,0.2723005,58,1,0,0,0,0,0,0,0,0,0,361,332,0.9196676,268,0.8072289,66,0.1987952,66,1,*,268,0.752809,*,1,60,0.2238806,60,1,*,0,*,0,0,0,0,0,0
NT305,SPIRE PORTSMOUTH HOSPITAL,493,376,0.7626775,323,0.8590426,156,0.4148936,156,1,251,199,0.7928287,173,0.8693467,86,0.4321608,86,1,251,173,0.689243,173,1,86,0.4971098,86,1,0,0,0,0,0,0,0,0,0,242,177,0.731405,150,0.8474576,70,0.3954802,70,1,242,150,0.6198347,150,1,69,0.46,69,1,0,0,0,0,0,0,0,0,0
NT339,SPIRE REGENCY HOSPITAL,333,241,0.7237237,204,0.846473,90,0.373444,90,1,149,113,0.7583893,99,0.8761062,43,0.380531,43,1,149,99,0.6644295,99,1,43,0.4343434,43,1,0,0,0,0,0,0,0,0,0,184,128,0.6956522,105,0.8203125,47,0.3671875,47,1,184,105,0.5706522,105,1,45,0.4285714,45,1,0,0,0,0,0,0,0,0,0
NT301,SPIRE SOUTH BANK HOSPITAL,221,220,0.9954751,179,0.8136364,64,0.2909091,64,1,93,97,1.0430108,80,0.8247423,30,0.3092784,30,1,93,80,0.8602151,80,1,28,0.35,28,1,0,0,0,0,0,0,0,0,0,128,123,0.9609375,99,0.804878,34,0.2764228,34,1,*,*,*,*,*,*,0.3469388,*,1,*,*,*,*,*,0,*,0,*
NT304,SPIRE SOUTHAMPTON HOSPITAL,427,490,1.147541,375,0.7653061,163,0.3326531,163,1,223,248,1.1121076,201,0.8104839,90,0.3629032,90,1,223,*,*,*,*,78,*,78,*,0,*,*,*,*,0,*,0,*,204,242,1.1862745,174,0.7190083,73,0.3016529,73,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT3X3,SPIRE ST ANTHONY'S HOSPITAL,36,30,0.8333333,26,0.8666667,8,0.2666667,8,1,12,8,0.6666667,8,1,2,0.25,2,1,12,8,0.6666667,8,1,2,0.25,2,1,0,0,0,0,0,0,0,0,0,24,22,0.9166667,18,0.8181818,6,0.2727273,6,1,24,18,0.75,18,1,6,0.3333333,6,1,0,0,0,0,0,0,0,0,0
NT309,SPIRE SUSSEX HOSPITAL,230,189,0.8217391,151,0.7989418,49,0.2592593,49,1,91,79,0.8681319,62,0.7848101,20,0.2531646,20,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,139,110,0.7913669,89,0.8090909,29,0.2636364,29,1,133,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NT343,SPIRE THAMES VALLEY HOSPITAL,35,44,1.2571429,23,0.5227273,11,0.25,11,1,15,21,1.4,11,0.5238095,6,0.2857143,6,1,15,11,0.7333333,11,1,5,0.4545455,5,1,0,0,0,0,0,0,0,0,0,20,23,1.15,12,0.5217391,5,0.2173913,5,1,20,12,0.6,12,1,3,0.25,3,1,0,0,0,0,0,0,0,0,0
NT310,SPIRE TUNBRIDGE WELLS HOSPITAL,13,37,2.8461538,8,0.2162162,14,0.3783784,14,1,7,18,2.5714286,5,0.2777778,9,0.5,9,1,7,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,6,19,3.1666667,3,0.1578947,5,0.2631579,5,1,6,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0
NT333,SPIRE WASHINGTON HOSPITAL,573,539,0.9406632,374,0.6938776,137,0.2541744,137,1,249,237,0.9518072,154,0.649789,61,0.257384,61,1,249,154,0.6184739,154,1,58,0.3766234,58,1,0,0,0,0,0,0,0,0,0,324,302,0.9320988,220,0.7284768,76,0.2516556,76,1,*,*,*,*,*,*,0.3256881,*,1,*,*,*,*,*,0,*,0,*
NT313,SPIRE WELLESLEY HOSPITAL,289,232,0.8027682,191,0.8232759,70,0.3017241,70,1,116,91,0.7844828,76,0.8351648,32,0.3516484,32,1,116,76,0.6551724,76,1,29,0.3815789,29,1,0,0,0,0,0,0,0,0,0,173,141,0.8150289,115,0.8156028,38,0.2695035,38,1,173,115,0.6647399,115,1,37,0.3217391,37,1,0,0,0,0,0,0,0,0,0
NVC18,SPRINGFIELD HOSPITAL,729,734,1.0068587,639,0.8705722,386,0.5258856,263,0.6813472,332,340,1.0240964,289,0.85,180,0.5294118,125,0.6944444,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,397,394,0.9924433,350,0.8883249,206,0.5228426,138,0.6699029,383,338,0.8825065,338,1,185,0.5473373,132,0.7135135,14,12,0.8571429,12,1,3,0.25,2,0.6666667
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,62,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,678,592,0.8731563,573,0.9679054,372,0.6283784,199,0.5349462,318,281,0.8836478,270,0.9608541,179,0.6370107,92,0.5139665,293,251,0.8566553,251,1,161,0.6414343,86,0.5341615,25,19,0.76,19,1,13,0.6842105,3,0.2307692,360,311,0.8638889,303,0.9742765,193,0.6205788,107,0.5544041,333,283,0.8498498,283,1,173,0.6113074,98,0.566474,27,20,0.7407407,20,1,12,0.6,4,0.3333333
NTE02,ST HUGH'S HOSPITAL,677,741,1.0945347,592,0.7989204,391,0.5276653,276,0.7058824,259,282,1.0888031,216,0.7659574,145,0.5141844,105,0.7241379,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,418,459,1.0980861,376,0.8191721,246,0.5359477,171,0.695122,411,370,0.9002433,370,1,212,0.572973,155,0.7311321,7,6,0.8571429,6,1,4,0.6666667,2,0.5
NHW01,STANDARD HEALTH LTD HQ,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RWJ,STOCKPORT NHS FOUNDATION TRUST,723,679,0.9391425,457,0.6730486,446,0.6568483,227,0.5089686,379,353,0.9313984,246,0.6968839,241,0.6827195,116,0.4813278,349,233,0.6676218,233,1,173,0.7424893,103,0.5953757,30,13,0.4333333,13,1,10,0.7692308,5,0.5,344,326,0.9476744,211,0.6472393,205,0.6288344,111,0.5414634,326,200,0.6134969,200,1,138,0.69,88,0.6376812,18,11,0.6111111,11,1,8,0.7272727,5,0.625
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,358,318,0.8882682,205,0.6446541,184,0.5786164,104,0.5652174,202,186,0.9207921,123,0.6612903,107,0.5752688,63,0.588785,184,113,0.6141304,113,1,77,0.6814159,49,0.6363636,18,10,0.5555556,10,1,8,0.8,5,0.625,156,132,0.8461538,82,0.6212121,77,0.5833333,41,0.5324675,143,*,*,*,*,*,*,*,*,13,*,*,*,*,*,*,*,*
AJX,SUSSEX MSK PARTNERSHIP 2,305,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,514,389,0.7568093,177,0.4550129,232,0.596401,104,0.4482759,179,137,0.7653631,62,0.4525547,82,0.5985401,38,0.4634146,179,62,0.3463687,62,1,40,0.6451613,23,0.575,0,0,0,0,0,0,0,0,0,335,252,0.7522388,115,0.4563492,150,0.5952381,66,0.44,321,109,0.3395639,109,1,79,0.7247706,43,0.5443038,14,6,0.4285714,6,1,5,0.8333333,3,0.6
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,436,202,0.4633028,186,0.9207921,46,0.2277228,22,0.4782609,218,97,0.4449541,91,0.9381443,21,0.2164948,10,0.4761905,186,75,0.4032258,75,1,14,0.1866667,7,0.5,32,16,0.5,16,1,5,0.3125,2,0.4,218,105,0.4816514,95,0.9047619,25,0.2380952,12,0.48,203,86,0.4236453,86,1,20,0.2325581,12,0.6,15,9,0.6,9,1,3,0.3333333,0,0
NVC0R,TEES VALLEY HOSPITAL,495,409,0.8262626,398,0.9731051,168,0.4107579,120,0.7142857,216,183,0.8472222,179,0.9781421,66,0.3606557,43,0.6515152,*,179,*,179,1,65,0.3631285,42,0.6461538,*,0,*,0,0,0,0,0,0,279,226,0.8100358,219,0.9690265,102,0.4513274,77,0.754902,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NVC35,TEES VALLEY TREATMENT CENTRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL,143,157,1.0979021,125,0.7961783,84,0.5350318,53,0.6309524,56,59,1.0535714,46,0.779661,32,0.5423729,21,0.65625,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,87,98,1.1264368,79,0.8061224,52,0.5306122,32,0.6153846,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,903,887,0.9822813,632,0.7125141,438,0.4937993,240,0.5479452,397,341,0.8589421,256,0.7507331,170,0.4985337,102,0.6,*,*,*,*,*,*,*,95,*,*,*,*,*,*,*,*,0,*,506,546,1.0790514,376,0.6886447,268,0.4908425,138,0.5149254,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,553,662,1.1971067,368,0.5558912,410,0.6193353,212,0.5170732,194,233,1.2010309,130,0.5579399,135,0.5793991,79,0.5851852,179,121,0.6759777,121,1,82,0.677686,59,0.7195122,15,9,0.6,9,1,7,0.7777778,4,0.5714286,359,429,1.1949861,238,0.5547786,275,0.6410256,133,0.4836364,337,224,0.6646884,224,1,158,0.7053571,97,0.6139241,22,14,0.6363636,14,1,12,0.8571429,7,0.5833333
NXM01,THE HORDER CENTRE - ST JOHNS ROAD,1550,1624,1.0477419,1312,0.8078818,781,0.4809113,505,0.6466069,769,763,0.9921977,647,0.8479685,369,0.4836173,242,0.6558266,724,626,0.8646409,626,1,342,0.5463259,226,0.6608187,45,21,0.4666667,21,1,10,0.4761905,9,0.9,781,861,1.1024328,665,0.7723577,412,0.4785134,263,0.6383495,758,652,0.8601583,652,1,351,0.5383436,242,0.6894587,23,13,0.5652174,13,1,11,0.8461538,8,0.7272727
DX1,THE NEW FOSCOTE HOSPITAL LTD,23,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1370,809,0.5905109,445,0.5500618,413,0.5105068,210,0.5084746,596,364,0.6107383,218,0.5989011,182,0.5,92,0.5054945,545,196,0.359633,196,1,123,0.627551,70,0.5691057,51,22,0.4313725,22,1,14,0.6363636,9,0.6428571,774,445,0.5749354,227,0.5101124,231,0.5191011,118,0.5108225,720,211,0.2930556,211,1,138,0.6540284,87,0.6304348,54,16,0.2962963,16,1,10,0.625,6,0.6
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,540,527,0.9759259,421,0.7988615,273,0.5180266,168,0.6153846,257,227,0.8832685,195,0.8590308,117,0.5154185,71,0.6068376,232,189,0.8146552,189,1,102,0.5396825,66,0.6470588,25,6,0.24,6,1,5,0.8333333,3,0.6,283,300,1.0600707,226,0.7533333,156,0.52,97,0.6217949,266,217,0.8157895,217,1,120,0.5529954,85,0.7083333,17,9,0.5294118,9,1,2,0.2222222,1,0.5
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",518,366,0.7065637,208,0.568306,207,0.5655738,118,0.5700483,238,188,0.789916,107,0.5691489,97,0.5159574,53,0.5463918,226,*,*,*,*,*,*,51,*,12,*,*,*,*,*,*,0,*,280,178,0.6357143,101,0.5674157,110,0.6179775,65,0.5909091,257,92,0.3579767,92,1,78,0.8478261,55,0.7051282,23,9,0.3913043,9,1,8,0.8888889,6,0.75
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,2721,2347,0.8625505,2171,0.9250107,1067,0.4546229,848,0.7947516,1294,1088,0.8408037,1019,0.9365809,514,0.4724265,418,0.8132296,1161,935,0.8053402,935,1,443,0.4737968,367,0.8284424,133,84,0.6315789,84,1,34,0.4047619,29,0.8529412,1427,1259,0.8822705,1152,0.9150119,553,0.4392375,430,0.7775769,1262,1036,0.8209192,1036,1,442,0.4266409,357,0.8076923,165,116,0.7030303,116,1,62,0.5344828,43,0.6935484
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,594,320,0.5387205,168,0.525,214,0.66875,41,0.1915888,294,148,0.5034014,88,0.5945946,95,0.6418919,22,0.2315789,275,*,*,*,*,*,*,22,*,19,*,*,*,*,*,*,0,*,300,172,0.5733333,80,0.4651163,119,0.6918605,19,0.1596639,286,*,*,*,*,*,*,*,0.2463768,14,*,*,*,*,*,*,0,*
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1364,1357,0.994868,1261,0.9292557,776,0.5718497,586,0.7551546,665,627,0.9428571,604,0.9633174,368,0.5869219,282,0.7663043,627,580,0.9250399,580,1,346,0.5965517,270,0.7803468,38,24,0.6315789,24,1,13,0.5416667,8,0.6153846,699,730,1.0443491,657,0.9,408,0.5589041,304,0.745098,669,630,0.941704,630,1,361,0.5730159,270,0.7479224,30,27,0.9,27,1,13,0.4814815,12,0.9230769
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,2686,2484,0.9247952,2255,0.90781,1042,0.4194847,711,0.6823417,1369,1240,0.9057706,1158,0.933871,491,0.3959677,343,0.6985743,1233,1071,0.8686131,1071,1,441,0.4117647,312,0.707483,136,87,0.6397059,87,1,32,0.3678161,24,0.75,1317,1244,0.944571,1097,0.8818328,551,0.442926,368,0.6678766,1165,995,0.8540773,995,1,458,0.4603015,317,0.6921397,152,102,0.6710526,102,1,43,0.4215686,24,0.5581395
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,1319,711,0.5390447,624,0.8776371,440,0.6188467,297,0.675,559,305,0.5456172,275,0.9016393,201,0.6590164,140,0.6965174,523,265,0.5066922,265,1,180,0.6792453,130,0.7222222,36,10,0.2777778,10,1,7,0.7,6,0.8571429,760,406,0.5342105,349,0.8596059,239,0.58867,157,0.6569038,731,338,0.4623803,338,1,201,0.5946746,139,0.6915423,29,11,0.3793103,11,1,10,0.9090909,6,0.6
NVC20,THE YORKSHIRE CLINIC,845,842,0.9964497,823,0.9774347,454,0.5391924,346,0.7621145,378,375,0.9920635,369,0.984,207,0.552,167,0.8067633,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,467,467,1,454,0.9721627,247,0.5289079,179,0.7246964,452,442,0.9778761,442,1,236,0.5339367,171,0.7245763,15,12,0.8,12,1,8,0.6666667,6,0.75
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,615,471,0.7658537,287,0.6093418,277,0.5881104,163,0.5884477,271,216,0.797048,141,0.6527778,151,0.6990741,82,0.5430464,241,127,0.526971,127,1,85,0.6692913,52,0.6117647,30,14,0.4666667,14,1,10,0.7142857,5,0.5,344,255,0.7412791,146,0.572549,126,0.4941176,81,0.6428571,317,133,0.4195584,133,1,52,0.3909774,33,0.6346154,27,13,0.4814815,13,1,5,0.3846154,3,0.6
NN501,TRAFFORD GENERAL HOSPITAL,121,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN401,TYNESIDE SURGICAL SERVICES,106,72,0.6792453,61,0.8472222,32,0.4444444,25,0.78125,43,36,0.8372093,29,0.8055556,17,0.4722222,14,0.8235294,43,29,0.6744186,29,1,14,0.4827586,12,0.8571429,0,0,0,0,0,0,0,0,0,63,36,0.5714286,32,0.8888889,15,0.4166667,11,0.7333333,63,32,0.5079365,32,1,13,0.40625,10,0.7692308,0,0,0,0,0,0,0,0,0
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1272,906,0.7122642,681,0.7516556,534,0.589404,323,0.6048689,535,389,0.7271028,291,0.748072,222,0.5706941,136,0.6126126,486,278,0.5720165,278,1,170,0.6115108,114,0.6705882,49,13,0.2653061,13,1,11,0.8461538,7,0.6363636,737,517,0.7014925,390,0.754352,312,0.6034816,187,0.599359,699,384,0.5493562,384,1,247,0.6432292,167,0.6761134,38,6,0.1578947,6,1,4,0.6666667,2,0.5
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,691,848,1.2272069,766,0.9033019,386,0.4551887,118,0.3056995,356,414,1.1629213,376,0.9082126,191,0.4613527,59,0.3089005,320,338,1.05625,338,1,161,0.4763314,52,0.3229814,36,38,1.0555556,38,1,20,0.5263158,6,0.3,335,434,1.2955224,390,0.8986175,195,0.4493088,59,0.3025641,317,371,1.170347,371,1,169,0.4555256,52,0.3076923,18,19,1.0555556,19,1,11,0.5789474,6,0.5454545
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,569,447,0.7855888,198,0.442953,217,0.4854586,118,0.5437788,279,223,0.7992832,115,0.5156951,121,0.5426009,72,0.5950413,252,104,0.4126984,104,1,86,0.8269231,61,0.7093023,27,11,0.4074074,11,1,8,0.7272727,4,0.5,290,224,0.7724138,83,0.3705357,96,0.4285714,46,0.4791667,244,67,0.2745902,67,1,41,0.6119403,27,0.6585366,46,16,0.3478261,16,1,12,0.75,8,0.6666667
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,1358,793,0.583947,572,0.7213115,418,0.5271122,248,0.5933014,591,333,0.5634518,264,0.7927928,176,0.5285285,118,0.6704545,547,250,0.4570384,250,1,132,0.528,97,0.7348485,44,14,0.3181818,14,1,9,0.6428571,7,0.7777778,767,460,0.5997392,308,0.6695652,242,0.526087,130,0.5371901,713,298,0.4179523,298,1,152,0.5100671,107,0.7039474,54,10,0.1851852,10,1,7,0.7,6,0.8571429
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1357,595,0.4384672,265,0.4453782,391,0.6571429,223,0.5703325,618,282,0.4563107,141,0.5,184,0.6524823,116,0.6304348,561,129,0.2299465,129,1,97,0.751938,69,0.7113402,57,12,0.2105263,12,1,9,0.75,7,0.7777778,739,313,0.4235453,124,0.3961661,207,0.6613419,107,0.5169082,686,*,*,*,*,*,*,*,*,53,*,*,*,*,*,*,*,*
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1989,2154,1.0829563,1523,0.7070566,1426,0.6620241,838,0.5876578,867,920,1.0611303,663,0.7206522,593,0.6445652,342,0.5767285,792,608,0.7676768,608,1,466,0.7664474,302,0.6480687,75,55,0.7333333,55,1,31,0.5636364,15,0.483871,1122,1234,1.0998217,860,0.6969206,833,0.6750405,496,0.5954382,1050,814,0.7752381,814,1,651,0.7997543,422,0.6482335,72,46,0.6388889,46,1,26,0.5652174,17,0.6538462
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1414,1263,0.8932107,953,0.7545527,593,0.469517,349,0.5885329,618,554,0.8964401,439,0.7924188,268,0.4837545,165,0.6156716,543,394,0.7255985,394,1,215,0.5456853,143,0.6651163,75,45,0.6,45,1,25,0.5555556,16,0.64,796,709,0.8907035,514,0.7249647,325,0.4583921,184,0.5661538,732,479,0.6543716,479,1,255,0.5323591,163,0.6392157,64,35,0.546875,35,1,16,0.4571429,8,0.5
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1011,818,0.8090999,378,0.4621027,446,0.5452323,279,0.6255605,477,362,0.7589099,185,0.5110497,188,0.519337,115,0.6117021,449,175,0.389755,175,1,104,0.5942857,72,0.6923077,28,10,0.3571429,10,1,8,0.8,6,0.75,534,456,0.8539326,193,0.4232456,258,0.5657895,164,0.6356589,513,187,0.3645224,187,1,132,0.7058824,101,0.7651515,21,6,0.2857143,6,1,5,0.8333333,5,1
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1266,1197,0.9454976,687,0.5739348,637,0.5321637,355,0.5572998,541,520,0.961183,301,0.5788462,279,0.5365385,143,0.5125448,498,285,0.5722892,285,1,203,0.7122807,122,0.6009852,43,16,0.372093,16,1,12,0.75,7,0.5833333,725,677,0.9337931,386,0.5701625,358,0.5288035,212,0.5921788,691,374,0.5412446,374,1,264,0.7058824,180,0.6818182,34,12,0.3529412,12,1,5,0.4166667,5,1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1615,635,0.3931889,435,0.6850394,295,0.4645669,138,0.4677966,772,322,0.4170984,215,0.6677019,159,0.4937888,68,0.427673,730,194,0.2657534,194,1,114,0.5876289,56,0.4912281,42,21,0.5,21,1,12,0.5714286,5,0.4166667,843,313,0.371293,220,0.7028754,136,0.4345048,70,0.5147059,790,196,0.2481013,196,1,92,0.4693878,53,0.576087,53,24,0.4528302,24,1,16,0.6666667,11,0.6875
RBK,WALSALL HEALTHCARE NHS TRUST,444,422,0.9504505,227,0.5379147,281,0.6658768,149,0.5302491,176,162,0.9204545,90,0.5555556,103,0.6358025,54,0.5242718,169,*,*,*,*,*,*,45,*,7,*,*,*,*,*,*,0,*,268,260,0.9701493,137,0.5269231,178,0.6846154,95,0.5337079,258,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,590,334,0.5661017,286,0.8562874,166,0.497006,93,0.560241,260,141,0.5423077,118,0.8368794,65,0.4609929,30,0.4615385,253,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,330,193,0.5848485,168,0.8704663,101,0.5233161,63,0.6237624,317,*,*,*,*,*,*,*,*,13,*,*,*,*,*,*,*,*
RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,704,487,0.6917614,413,0.8480493,204,0.4188912,109,0.5343137,347,232,0.6685879,197,0.8491379,99,0.4267241,50,0.5050505,316,180,0.5696203,180,1,78,0.4333333,43,0.5512821,31,17,0.5483871,17,1,6,0.3529412,3,0.5,357,255,0.7142857,216,0.8470588,105,0.4117647,59,0.5619048,327,203,0.6207951,203,1,86,0.4236453,52,0.6046512,30,13,0.4333333,13,1,6,0.4615385,4,0.6666667
